# fingerprint file for http/default_scanner
# RE: 0 (none) 1 (yes/basic) 2 (yes/case insensitive) 3 (multiple entries) 4 (yes/basic/negated)
# server, RE?, Realm, RegExp?, path/file, RE?, title, RE?, body, RE?, Name, Variant Number
^Apache,1,NA,0,NA,0,Océ,1,NA,0,Oce Print Server,1
^Apache,1,NA,0,NA,0,Login,0,FRAME name=main src=\x22\/servlet\/LoginPage\x22 scrolling=\x22auto\x22\>,1,Niksun NetDetector,1
^Apache,1,,0,NA,0,Niksun,1,servlet\/LoginDecider,1,Niksun NetDetector,1
^Apache,1,NA,0,NA,0,Please Login,0,\/voyager\/applysf\.htm,1,Nokia IPSO appliance,1
^Apache,1,NA,0,NA,0,NA,0,www\.snapappliance\.com,1,Overland Storage,1
^Apache,1,NA,0,NA,0,Polycom RSS 2000,1,NA,0,Polycom VTC,1
^Apache,1,NA,0,NA,0,^EMA,1,NA,0,Polycom VTC,1
^Apache,1,NA,0,NA,0,Prism Index,1,NA,0,Quantum Prism NAS,1
^Apache,1,NA,0,NA,0,PX720 Login,0,NA,0,Quantum PX720 Tape Library,1
^Apache,1,NA,0,NA,0,Red Hat Network Proxy Server,0,NA,0,Red Hat Network Proxy Server,1
^Apache,1,NA,0,NA,0,RW-240 PLOTCLIENT WEB,1,NA,0,Ricoh RW-240 Plotter,1
^Apache,1,NA,0,NA,0,Scrutinizer NetFlow Analyzer,1,NA,0,Scrutinizer NetFlow Analyzer,1
^Apache,1,NA,0,NA,0,Scyld Software,1,NA,0,Scyld Beowulf Storage Cluster,1
^Apache,1,NA,0,NA,0,Shoreline Audio Conferencing,0,NA,0,Shoreline Audio Conferencing,1
^Apache,1,NA,0,NA,0,^Sun Management Center,1,NA,0,Sun Management Center Web Console,1
^Apache,1,NA,0,NA,0,Trimble NetRS,1,NA,0,Trimble NetRS GPS,1
^Apache,1,NA,0,NA,0,^Urchin (\d+)$,1,NA,0,Urchin on Apache,1
^Apache,1,NA,0,NA,0,xerox colorQube,2,NA,0,Xerox ColorQube Copier,1
^Apache,1,NA,0,NA,0,xerox workcentre,2,NA,0,Xerox WorkCentre MFD,2
^Apache,1,NA,0,NA,0,^\s*$,1,Oracle HTTP Server.+\<a href\=\x22\/demo\/\x22\>\(demos\)\<\/a\>,1,Oracle Web Server With Demos,1
^Apache,1,NA,0,NA,0,^\s*$,1,Oracle HTTP Server,1,Oracle Web Server,1
^Apache,1,NA,0,NA,0,Webtools,1,wt2parser\.cgi,1,Xerox Fiery MFD,1
^Apache,1,NA,0,/start.html,0,Loading...,0,NA,0,NetApp OnCommand,1
^Apache,1,,0,/home.php,0,EndRun Technologies,0,ntp.php,1,EndRun Technologies NTP Appliance,1
# this one has to be last apache as its non-specific
Apache,1,NA,0,NA,0,NA,0,NA,0,Apache Web Server,1
Apache Tomcat,1,NA,0,NA,0,NA,0,NA,0,Apache Tomcat/Coyote,1
ApacheJServ,1,NA,0,NA,0,,0,Oracle Corporation,1,Oracle Web Server,1
Apple Embedded Web Server,1,NA,0,NA,0,NA,0,NA,0,Apple Embedded Web Server,1
^Avocent DSView \d\/\S+$,1,NA,0,NA,0,NA,0,NA,0,Avocent DSView,1
Boa\/,1,NA,0,NA,0,NetCam,1,NA,0,AXIS Webcam,2
Boa\/,1,axview,0,NA,0,401 Unauthorized,0,NA,0,AXIS Webcam,2
Boa\/,1,NA,0,NA,0,AXIS\s\S+\sNetwork\sCamera,1,NA,0,AXIS Webcam,2
Boa\/,1,NA,0,/en/index.html,0,Sony Network Camera,1,NA,0,Sony Webcam,1
Boa\/,1,1.3M Indoor Dome,0,NA,0,401 Unauthorized,0,NA,0,Sony Exmor Webcam,1
Boa\/,1,NA,0,NA,0,,0,nav_e.php,1,SEH Intelligent Spooling Device,1
Boa\/,1,axview,0,/view/index.shtml,0,401 Unauthorized,0,NA,0,AXIS Webcam,2
Boa\/,1,,0,NA,0,,0,network_rtsp_s0_accessname,1,Vivotek Webcam,1
canon\shttp\sserver,2,NA,0,NA,0,NA,0,NA,0,Canon Copier,1
Check Point SVN foundation,0,NA,0,NA,0,Check Point Software Technologies: We Secure the Internet,0,NA,0,CheckPoint Firewall,0
cisco-IOS,1,NA,0,NA,0,NA,0,Cisco Systems\x2c Inc\x00The device manager,3,Cisco Network Device,2
cisco,2,NA,0,NA,0,NA,0,NA,0,Cisco Network Device,1
cisco,2,^air,2,NA,0,NA,0,NA,0,Cisco WAP,1
Citrix Web PN Server,0,NA,0,NA,0,NA,0,NA,0,Citrix Server,1
CJServer\/,1,,0,NA,0,Login Page,0,_common\/lvl5\/dologin.html,1,WebCTRL HVAC,1
CR1000.Std.20,0,,0,NA,0,Home Page,0,Newest Record from ,1,Campbell SCI Monitor,1
debut\/,2,NA,0,NA,0,brother\s,2,NA,0,Brother Printer,1
Debut\/,1,NA,0,/main/main.html,0,SP\s,1,Brother Industries,1,Brother Printer,1
dwhttpd\/,2,NA,0,NA,0,AnswerBook2,0,NA,0,Sun AnswerBook2,1
eHTTP,2,NA,0,NA,0,ProCurve Switch,1,NA,0,Hewlett-Packard Switch,1
